"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6337509155273","28.3303394317627","28.8601303100586","28.5816898345947","30.3779106140137","30.352689743042","36.204231262207","34.2268714904785","34.8968086242676","35.0970611572266","34.4308586120605","36.0625305175781","37.8648109436035","38.8641815185547","17.1258697509766","17.7518997192383","16.7312393188477","17.1416206359863","","","","","","","","14.0655418559377","",
"Africa Eastern and Southern","AFE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","1.88971996307373","1.82993996143341","1.93185997009277","1.89342999458313","1.97111999988556","2.0278000831604","2.06860995292664","2.10810995101929","2.19693994522095","2.24832010269165","2.31379008293152","2.37480998039246","2.54147005081177","2.57652997970581","2.61872005462646","2.71170997619629","2.80894994735718","2.90907001495361","3.01823997497559","3.1723198890686","3.19349002838135","3.32539010047913","3.44453001022339","3.58260989189148","3.75828003883362","3.77903008460998","3.79064011573792","3.8187301158905","3.85899996757507","3.8215799331665","3.99448990821838","4.2595100402832","4.5005898475647","4.8099799156189","5.12434005737305","5.39512014389038","5.67903995513916","5.82964992523193","6.22163009643555","6.78540992736816","7.34631013870239","7.71177005767822","7.9946699142456","8.18673038482666","8.29104042053223","8.43400001525879","8.57314014434814","8.71269035339355","8.7509298324585","8.67273044586182","8.71187019348145","8.66186046600342","","","","",
"Afghanistan","AFG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.769559979438782","0.928269982337952","0.959540009498596","1.10443997383118","1.03191995620727","1.12305998802185","1.26918995380402","1.40902996063232","1.80000996589661","1.91846001148224","","","2.01694989204407","","","","2.19022011756897","1.71459996700287","","","2.21519994735718","","","","","","","","","","","","","1.37434995174408","1.39064002037048","","","","","3.93815994262695","","3.68686008453369","","","8.39764022827148","","","","9.99592018127441","","10.85435962677","","","","","",
"Africa Western and Central","AFW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.617680013179779","0.619029998779297","0.66184002161026","0.72408002614975","0.78600001335144","0.831439971923828","0.927500009536743","1.09012997150421","1.23221004009247","1.50065994262695","1.65649998188019","1.9273099899292","2.05622005462646","2.14419007301331","2.20619988441467","2.3889799118042","2.51521992683411","2.47387003898621","2.65233993530273","2.77177000045776","2.87589001655579","2.97762989997864","3.11690998077393","3.29299998283386","3.45100998878479","3.59401988983154","3.78765988349915","4.01411008834839","4.16986989974976","4.33806991577148","4.95100021362305","5.43233013153076","5.93669986724854","6.43214988708496","6.620689868927","7.03709983825684","7.09086990356445","7.31161022186279","7.55156993865967","7.67314004898071","7.94076013565063","8.23383045196533","8.61141014099121","9.13339042663574","9.39218044281006","9.45302963256836","9.26937007904053","9.39776039123535","9.58899021148682","9.73875999450684","9.93537998199463","10.1902599334717","","","","",
"Angola","AGO","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.581809997558594","0.5659099817276","0.594919979572296","0.60505998134613","0.573329985141754","","","","","","0.613650023937225","0.554629981517792","","","0.783640027046204","2.87620997428894","2.14597010612488","2.6385600566864","2.55977010726929","","","","","6.44004138280629","","9.22339720175662","","8.78320868033121","9.78287696232453","","","","","","","10.04935810264","9.9549065722902","",
"Albania","ALB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","12.8983097076416","13.9605598449707","","","","","","5.39772987365723","","","4.82242012023926","","5.62990999221802","6.34281015396118","6.89037990570068","7.06284999847412","7.123459815979","7.46460008621216","7.76358985900879","8.0117301940918","8.63831043243408","9.12522029876709","11.0173997879028","10.4434404373169","10.0794801712036","11.0262098312378","12.8083696365356","13.6314601898193","14.7700595855713","15.3867101669312","15.4820499420166","16.3895606994629","16.3662395477295","19.1295795440674","22.389009475708","26.2101001739502","30.2319297790527","31.6839599609375","32.9239883422852","43.3279304504395","49.3997040639925","58.6214186004979","63.8440585382953","65.5507096860696","61.9608485481051","58.4884791901189","58.0177836674929","56.0802964109938","61.4085141527142","61.5853024328899","59.9698690125562","62.647921513098","64.7293520237257","84.1496200561523","",
"Andorra","AND","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.31105995178223","8.82861995697021","8.74967002868652","8.41534996032715","9.89391040802002","","10.986120223999","","","","12.870249017038","14.5405405405405","13.5399673735726","13.8206896551724","15.2011095700416","15.6664896441848","15.7132150886835","15.4352596927579","15.2605749006777","15.4117647058823","34.6414389161411","62.4106937082277","67.6767676767677","",
"Arab World","ARB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","12.7094001770019","5.39283990859985","5.61168003082275","5.91309022903442","6.26859998703003","6.74680995941162","7.33316993713379","7.75063991546631","7.55993986129761","7.6641697883606","7.99777984619141","8.51006031036377","8.87298011779785","9.06667995452881","9.33497047424316","9.36201953887939","9.68360996246338","9.79909992218018","13.7320003509522","9.67932987213135","9.73840045928955","9.47113037109375","10.0868196487427","10.910590171814","11.8772401809692","12.6549396514893","13.5704402923584","14.5025501251221","15.4457502365112","16.7325000762939","16.8672409057617","17.4352397918701","18.2287998199463","18.2871894836426","19.4084701538086","20.39501953125","20.922119140625","21.5595207214356","22.4240398406982","23.2823505401611","24.0447006225586","23.5923805236816","24.9674091339111","26.6111106872559","27.9501495361328","29.4163494110107","29.9698600769043","30.7080307006836","31.8304405212402","32.1644706726074","32.7869911193848","32.6684608459473","32.7095909118652","33.2456398010254","35.0803985595703","",
"United Arab Emirates","ARE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2113281680102","53.8814655213653","54.9746998074699","56.4520334436146","60.4188226013954","61.3456114422447","63.7384451086316","",
"Argentina","ARG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","13.2804498672485","15.310640335083","16.4729194641113","19.5783805847168","22.702169418335","26.914270401001","26.9438800811768","23.9531192779541","21.2025909423828","22.0105895996094","21.5650291442871","22.9634208679199","23.6957092285156","24.7786998748779","28.727560043335","35.6665916442871","37.8025398254395","39.7573585510254","","","","38.3296699523926","","","37.3899002075195","","","","47.9862289428711","49.5107002258301","54.0843505859375","58.4697608947754","61.7228813171387","64.0304870605469","64.5891418457031","63.4893112182617","66.9444732666016","66.6672210693359","68.5610733032227","70.6931915283203","73.803669361107","77.0101185060955","78.1465174294761","78.5681646081939","81.072589697739","83.75569332589","86.6743832906399","89.3297346952415","91.0846512732766","95.1928240640628","99.3697348717996","107.219557633976","107.103901423423","107.822574129434","","",
"Armenia","ARM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5561790466309","","19.5468807220459","20.9915599822998","22.0238304138184","23.5778503417969","22.9340400695801","22.5643806457519","19.1631298065186","19.5058898925781","16.6888809204102","21.8644905090332","31.5830402374268","32.2853813171387","32.5305213928223","31.3409194946289","33.9618911743164","35.0657081604004","35.8360900878906","37.7094497680664","41.5903587341309","44.4558410644531","46.5244903564453","49.0897102355957","50.5839875932926","51.2949290708131","44.4855719494927","44.8347790892711","47.7150849538629","48.7313687040259","54.3432877365993","55.5065519523494","57.4585357681354","53.5944174785534","52.3331534448642","56.6235144830279","57.1818422625098","56.2770051010456","52.7748065090859","",
"American Samoa","ASM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","19.6201190948486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8930101394653","16.6952054794521","15.1060820367751","25.1156271899089","","","","","","","","","","","","","",
"Australia","AUS","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119.679389953613","119.682777404785","109.993309020996","103.322090148926","109.759559631348","110.139221191406","112.688293457031","106.240760803223","104.64835357666","108.421989440918","",
"Austria","AUT","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8021202087402","66.1983871459961","67.9915771484375","75.0402526855469","77.2625122070312","79.5471267700195","80.9616012573242","81.0195693969727","82.2563095092773","82.8496932983398","83.8392562866211","85.8698883056641","86.3234329223633","88.7071990966797","93.940071105957","94.5116882324219","91.6818237304688","92.6126708984375","",
"Azerbaijan","AZE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7894592285156","19.3645992279053","19.0478897094727","19.057710647583","19.2600431394615","19.6473062365442","20.4384614704139","21.4404253568261","23.1597349800287","25.4831961094662","27.2368629930846","28.4670565431322","28.9724903670069","32.9221812477847","36.3854742250215","39.0095977224788","41.0017793895325","41.3907560278377","41.3413783372226","",
